% time	cellId	IMSI	RNTI	txMode	layer	mcs	size	rv	ndi	correct	ccId
907	1	5	8	0	0	28	2196	0	1	1	0
1015	1	5	8	0	0	28	2196	0	1	1	0
1095	1	6	6	0	0	28	1095	0	1	1	0
1095	1	1	7	0	0	28	1095	0	1	1	0
1175	1	2	4	0	0	26	621	0	1	0	0
1175	1	3	1	0	0	28	749	0	1	1	0
1175	1	7	2	0	0	28	749	0	1	1	0
1182	1	2	4	0	0	26	621	1	0	1	0
1375	1	4	5	0	0	28	2196	0	1	1	0
1495	1	5	8	0	0	26	1836	0	1	1	0
1575	1	6	6	0	0	28	1095	0	1	1	0
1575	1	1	7	0	0	20	597	0	1	1	0
1655	1	2	4	0	0	28	749	0	1	1	0
1655	1	3	1	0	0	24	533	0	1	1	0
1655	1	7	2	0	0	28	749	0	1	1	0
1855	1	4	5	0	0	28	2196	0	1	1	0
1975	1	5	8	0	0	28	2196	0	1	1	0
2055	1	6	6	0	0	28	1095	0	1	1	0
2055	1	1	7	0	0	28	1095	0	1	1	0
2135	1	2	4	0	0	28	749	0	1	1	0
2135	1	3	1	0	0	28	749	0	1	1	0
2135	1	7	2	0	0	28	749	0	1	1	0
2335	1	4	5	0	0	28	2196	0	1	1	0
2455	1	5	8	0	0	28	2196	0	1	1	0
2535	1	6	6	0	0	28	1095	0	1	1	0
2535	1	1	7	0	0	24	807	0	1	1	0
2615	1	2	4	0	0	28	749	0	1	1	0
2615	1	3	1	0	0	28	749	0	1	1	0
2615	1	7	2	0	0	24	533	0	1	1	0
2815	1	4	5	0	0	28	2196	0	1	1	0
2935	1	5	8	0	0	20	1191	0	1	1	0
3015	1	6	6	0	0	28	1095	0	1	1	0
3015	1	1	7	0	0	28	1095	0	1	1	0
3095	1	2	4	0	0	28	749	0	1	1	0
3095	1	3	1	0	0	28	749	0	1	1	0
3095	1	7	2	0	0	22	469	0	1	1	0
3295	1	4	5	0	0	28	2196	0	1	1	0
3415	1	5	8	0	0	28	2196	0	1	1	0
3495	1	6	6	0	0	28	1095	0	1	1	0
3495	1	1	7	0	0	28	1095	0	1	1	0
3575	1	2	4	0	0	28	749	0	1	1	0
3575	1	3	1	0	0	28	749	0	1	1	0
3575	1	7	2	0	0	22	469	0	1	1	0
3775	1	4	5	0	0	28	2196	0	1	1	0
3895	1	5	8	0	0	28	2196	0	1	1	0
3975	1	6	6	0	0	28	1095	0	1	1	0
3975	1	1	7	0	0	28	1095	0	1	1	0
4055	1	2	4	0	0	28	749	0	1	1	0
4055	1	3	1	0	0	28	749	0	1	1	0
4055	1	7	2	0	0	28	749	0	1	1	0
4255	1	4	5	0	0	28	2196	0	1	1	0
4375	1	5	8	0	0	28	2196	0	1	1	0
4455	1	6	6	0	0	28	1095	0	1	1	0
4455	1	1	7	0	0	28	1095	0	1	1	0
4535	1	2	4	0	0	28	749	0	1	1	0
4535	1	3	1	0	0	28	749	0	1	1	0
4535	1	7	2	0	0	28	749	0	1	1	0
4735	1	4	5	0	0	28	2196	0	1	1	0
4862	1	5	8	0	0	28	2196	0	1	1	0
4935	1	6	6	0	0	28	1095	0	1	1	0
4935	1	1	7	0	0	24	807	0	1	1	0
5015	1	2	4	0	0	28	749	0	1	1	0
5015	1	3	1	0	0	26	621	0	1	1	0
5015	1	7	2	0	0	28	749	0	1	1	0
5335	1	5	8	0	0	28	2196	0	1	1	0
5415	1	4	5	0	0	28	749	0	1	1	0
5415	1	6	6	0	0	28	749	0	1	1	0
5415	1	1	7	0	0	28	749	0	1	1	0
5495	1	2	4	0	0	28	749	0	1	1	0
5495	1	3	1	0	0	28	749	0	1	1	0
5495	1	7	2	0	0	24	533	0	1	0	0
5502	1	7	2	0	0	24	533	1	0	1	0
5817	1	5	8	0	0	28	2196	0	1	1	0
5895	1	4	5	0	0	28	749	0	1	1	0
5895	1	6	6	0	0	28	749	0	1	1	0
5895	1	1	7	0	0	28	749	0	1	1	0
5975	1	2	4	0	0	28	749	0	1	1	0
5975	1	3	1	0	0	28	749	0	1	1	0
5975	1	7	2	0	0	28	749	0	1	1	0
6295	1	5	8	0	0	28	2196	0	1	1	0
6375	1	4	5	0	0	28	749	0	1	1	0
6375	1	6	6	0	0	28	749	0	1	1	0
6375	1	1	7	0	0	28	749	0	1	1	0
6455	1	2	4	0	0	28	749	0	1	1	0
6455	1	3	1	0	0	28	749	0	1	1	0
6455	1	7	2	0	0	24	533	0	1	1	0
6775	1	5	8	0	0	28	2196	0	1	1	0
6855	1	4	5	0	0	28	749	0	1	1	0
6855	1	6	6	0	0	28	749	0	1	1	0
6855	1	1	7	0	0	28	749	0	1	1	0
6935	1	2	4	0	0	28	749	0	1	1	0
6935	1	3	1	0	0	28	749	0	1	1	0
6935	1	7	2	0	0	28	749	0	1	1	0
7255	1	5	8	0	0	28	2196	0	1	1	0
7335	1	4	5	0	0	28	749	0	1	1	0
7335	1	6	6	0	0	28	749	0	1	1	0
7335	1	1	7	0	0	24	533	0	1	0	0
7342	1	1	7	0	0	24	533	1	0	1	0
7415	1	2	4	0	0	28	749	0	1	1	0
7415	1	3	1	0	0	28	749	0	1	1	0
7415	1	7	2	0	0	28	749	0	1	1	0
7735	1	5	8	0	0	24	1620	0	1	1	0
7815	1	4	5	0	0	28	749	0	1	1	0
7815	1	6	6	0	0	24	533	0	1	1	0
7815	1	1	7	0	0	28	749	0	1	1	0
7895	1	2	4	0	0	28	749	0	1	1	0
7895	1	3	1	0	0	28	749	0	1	0	0
7895	1	7	2	0	0	28	749	0	1	1	0
7902	1	3	1	0	0	28	749	1	0	1	0
8215	1	5	8	0	0	28	2196	0	1	1	0
8295	1	4	5	0	0	28	749	0	1	1	0
8295	1	6	6	0	0	28	749	0	1	1	0
8295	1	1	7	0	0	28	749	0	1	1	0
8375	1	2	4	0	0	28	749	0	1	1	0
8375	1	3	1	0	0	28	749	0	1	1	0
8375	1	7	2	0	0	28	749	0	1	1	0
8695	1	5	8	0	0	28	2196	0	1	1	0
8775	1	4	5	0	0	28	1095	0	1	1	0
8775	1	6	6	0	0	28	1095	0	1	1	0
8816	1	1	7	0	0	28	2196	0	1	0	0
8823	1	1	7	0	0	28	2196	1	0	1	0
8855	1	2	4	0	0	28	749	0	1	1	0
8855	1	3	1	0	0	28	749	0	1	1	0
8855	1	7	2	0	0	28	749	0	1	0	0
8862	1	7	2	0	0	28	749	1	0	1	0
9175	1	5	8	0	0	28	2196	0	1	1	0
9255	1	4	5	0	0	28	749	0	1	1	0
9255	1	6	6	0	0	28	749	0	1	1	0
9255	1	1	7	0	0	22	469	0	1	1	0
9335	1	2	4	0	0	22	693	0	1	1	0
9335	1	7	2	0	0	22	693	0	1	1	0
9415	1	3	1	0	0	28	2196	0	1	1	0
9655	1	5	8	0	0	28	2196	0	1	1	0
9735	1	4	5	0	0	28	749	0	1	1	0
9735	1	6	6	0	0	28	749	0	1	1	0
9735	1	1	7	0	0	28	749	0	1	1	0
9815	1	2	4	0	0	28	1095	0	1	1	0
9815	1	7	2	0	0	28	1095	0	1	1	0
9895	1	3	1	0	0	26	1836	0	1	1	0
10135	1	5	8	0	0	22	1383	0	1	0	0
10142	1	5	8	0	0	22	1383	1	0	1	0
10215	1	4	5	0	0	28	749	0	1	1	0
10215	1	6	6	0	0	24	533	0	1	1	0
10235	1	1	7	0	0	28	2196	0	1	1	0
10295	1	2	4	0	0	28	1095	0	1	1	0
10295	1	7	2	0	0	28	1095	0	1	1	0
10375	1	3	1	0	0	28	2196	0	1	1	0
10615	1	5	8	0	0	28	2196	0	1	1	0
10695	1	4	5	0	0	28	749	0	1	0	0
10695	1	6	6	0	0	26	621	0	1	1	0
10695	1	1	7	0	0	18	325	0	1	1	0
10702	1	4	5	0	0	28	749	1	0	1	0
10775	1	2	4	0	0	22	693	0	1	1	0
10775	1	7	2	0	0	28	1095	0	1	1	0
10855	1	3	1	0	0	28	2196	0	1	1	0
11095	1	5	8	0	0	28	2196	0	1	1	0
11175	1	4	5	0	0	28	749	0	1	1	0
11175	1	6	6	0	0	28	749	0	1	1	0
11175	1	1	7	0	0	28	749	0	1	1	0
11255	1	2	4	0	0	28	1095	0	1	1	0
11255	1	7	2	0	0	24	807	0	1	0	0
11262	1	7	2	0	0	24	807	1	0	1	0
11335	1	3	1	0	0	28	2196	0	1	1	0
11575	1	5	8	0	0	28	2196	0	1	1	0
