% time	cellId	IMSI	RNTI	txMode	layer	mcs	size	rv	ndi	correct	ccId
29095	1	4	5	0	0	18	485	0	1	1	0
29335	1	5	8	0	0	28	2196	0	1	1	0
29415	1	6	6	0	0	28	2196	0	1	0	0
29422	1	6	6	0	0	28	2196	1	0	1	0
29495	1	2	4	0	0	22	693	0	1	1	0
29495	1	7	2	0	0	28	1095	0	1	1	0
29575	1	4	5	0	0	28	2196	0	1	1	0
29810	1	3	1	0	0	22	1383	0	1	0	0
29815	1	5	8	0	0	20	1191	0	1	1	0
29817	1	3	1	0	0	22	1383	1	0	1	0
29895	1	6	6	0	0	14	775	0	1	0	0
29923	1	6	6	0	0	18	967	0	1	1	0
29975	1	2	4	0	0	20	597	0	1	1	0
29975	1	7	2	0	0	28	1095	0	1	1	0
