% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
1.164	1	2	4	204.408	0
1.165	1	4	5	353.43	0
1.166	1	6	6	303.802	0
1.167	1	1	7	97.522	0
1.168	1	5	8	113.039	0
1.201	1	3	1	133.059	0
1.202	1	7	2	364.178	0
1.204	1	2	4	196.795	0
1.205	1	4	5	53.8469	0
1.206	1	6	6	126.451	0
1.207	1	1	7	434.071	0
1.208	1	5	8	40.4096	0
1.241	1	3	1	463.642	0
1.242	1	7	2	415.445	0
1.244	1	2	4	66.8041	0
1.245	1	4	5	437.641	0
1.246	1	6	6	298.84	0
1.247	1	1	7	333.206	0
1.248	1	5	8	228.934	0
1.281	1	3	1	355.853	0
1.282	1	7	2	289.061	0
1.284	1	2	4	187.801	0
1.285	1	4	5	816.653	0
1.286	1	6	6	146.056	0
1.287	1	1	7	322.479	0
1.288	1	5	8	495.404	0
1.321	1	3	1	168.719	0
1.322	1	7	2	754.511	0
1.324	1	2	4	192.17	0
1.325	1	4	5	435.379	0
1.326	1	6	6	250.084	0
1.327	1	1	7	119.924	0
1.328	1	5	8	384.216	0
1.361	1	3	1	825.123	0
1.362	1	7	2	996.03	0
1.364	1	2	4	133.366	0
1.365	1	4	5	365.965	0
1.366	1	6	6	648.126	0
1.367	1	1	7	160.012	0
1.368	1	5	8	108.317	0
1.401	1	3	1	342.455	0
1.402	1	7	2	350.854	0
1.404	1	2	4	238.498	0
1.405	1	4	5	729.097	0
1.406	1	6	6	388.339	0
1.407	1	1	7	217.071	0
1.408	1	5	8	112.913	0
1.441	1	3	1	769.282	0
1.442	1	7	2	189.971	0
1.444	1	2	4	213.517	0
1.445	1	4	5	529.869	0
1.446	1	6	6	648.68	0
1.447	1	1	7	66.7449	0
1.448	1	5	8	177.43	0
1.481	1	3	1	842.824	0
1.482	1	7	2	524.974	0
1.484	1	2	4	53.9818	0
1.485	1	4	5	702.282	0
1.486	1	6	6	494.428	0
1.487	1	1	7	38.5925	0
1.488	1	5	8	57.1709	0
1.521	1	3	1	787.857	0
1.522	1	7	2	6.31644	0
1.524	1	2	4	231.404	0
1.525	1	4	5	43.2282	0
1.526	1	6	6	327.982	0
1.527	1	1	7	240.926	0
1.528	1	5	8	51.2482	0
1.561	1	3	1	508.397	0
1.562	1	7	2	56.2173	0
1.564	1	2	4	189.642	0
1.565	1	4	5	144.647	0
1.566	1	6	6	767.195	0
1.567	1	1	7	90.6539	0
1.568	1	5	8	240.686	0
1.601	1	3	1	164.207	0
1.602	1	7	2	18.2345	0
1.604	1	2	4	310.838	0
1.605	1	4	5	84.0279	0
1.606	1	6	6	2654.34	0
1.607	1	1	7	111.254	0
1.608	1	5	8	255.672	0
1.641	1	3	1	1141.76	0
1.642	1	7	2	164.67	0
1.644	1	2	4	98.5907	0
1.645	1	4	5	224.618	0
1.646	1	6	6	2638.46	0
1.647	1	1	7	453.343	0
1.648	1	5	8	256.468	0
1.681	1	3	1	872.269	0
1.682	1	7	2	63.8717	0
1.684	1	2	4	433.649	0
1.685	1	4	5	257.941	0
1.686	1	6	6	526.054	0
1.687	1	1	7	383.946	0
1.688	1	5	8	1245.4	0
1.721	1	3	1	318.965	0
1.722	1	7	2	230.494	0
1.724	1	2	4	543.634	0
1.725	1	4	5	189.28	0
1.726	1	6	6	666.279	0
1.727	1	1	7	174.112	0
1.728	1	5	8	1783.34	0
1.761	1	3	1	798.67	0
1.762	1	7	2	663.017	0
1.764	1	2	4	71.0076	0
1.765	1	4	5	529.194	0
1.766	1	6	6	1304.61	0
1.767	1	1	7	358.839	0
1.768	1	5	8	640.567	0
1.801	1	3	1	684.452	0
1.802	1	7	2	342.448	0
1.804	1	2	4	202.167	0
1.805	1	4	5	370.454	0
1.806	1	6	6	667.002	0
1.807	1	1	7	397.452	0
1.808	1	5	8	198.862	0
1.841	1	3	1	198.273	0
1.842	1	7	2	134.967	0
1.844	1	2	4	81.3673	0
1.845	1	4	5	175.037	0
1.846	1	6	6	1288.69	0
1.847	1	1	7	282.134	0
1.848	1	5	8	786.265	0
1.881	1	3	1	311.201	0
1.882	1	7	2	244.332	0
1.884	1	2	4	163.512	0
1.885	1	4	5	267.328	0
1.886	1	6	6	714.036	0
1.887	1	1	7	741.851	0
1.888	1	5	8	452.371	0
1.921	1	3	1	1323.62	0
1.922	1	7	2	54.9183	0
1.924	1	2	4	620.215	0
1.925	1	4	5	218.936	0
1.926	1	6	6	156.967	0
1.927	1	1	7	949.156	0
1.928	1	5	8	626.663	0
1.961	1	3	1	1922.69	0
1.962	1	7	2	182.024	0
1.964	1	2	4	400.323	0
1.965	1	4	5	74.5425	0
1.966	1	6	6	512.996	0
1.967	1	1	7	321.196	0
1.968	1	5	8	627.981	0
2.001	1	3	1	763.64	0
2.002	1	7	2	93.2149	0
2.004	1	2	4	591.456	0
2.005	1	4	5	349.692	0
2.006	1	6	6	2575.77	0
2.007	1	1	7	98.9637	0
2.008	1	5	8	291.657	0
2.041	1	3	1	118.105	0
2.042	1	7	2	483.83	0
2.044	1	2	4	340.276	0
2.045	1	4	5	219.001	0
2.046	1	6	6	634.937	0
2.047	1	1	7	97.0811	0
2.048	1	5	8	272.981	0
2.081	1	3	1	1698.24	0
2.082	1	7	2	444.484	0
2.084	1	2	4	109.005	0
2.085	1	4	5	367.416	0
2.086	1	6	6	837.153	0
2.087	1	1	7	46.5447	0
2.088	1	5	8	202.144	0
2.121	1	3	1	1791.17	0
2.122	1	7	2	51.5093	0
2.124	1	2	4	534.945	0
2.125	1	4	5	396.464	0
2.126	1	6	6	583.771	0
2.127	1	1	7	225.829	0
2.128	1	5	8	361.955	0
2.161	1	3	1	521.147	0
2.162	1	7	2	205.796	0
2.164	1	2	4	839.198	0
2.165	1	4	5	124.145	0
2.166	1	6	6	224.664	0
2.167	1	1	7	197.076	0
2.168	1	5	8	297.197	0
2.201	1	3	1	1061	0
2.202	1	7	2	43.5668	0
2.204	1	2	4	104.809	0
2.205	1	4	5	112.166	0
2.206	1	6	6	1511.91	0
2.207	1	1	7	187.642	0
2.208	1	5	8	70.0556	0
2.241	1	3	1	399.909	0
2.242	1	7	2	222.901	0
2.244	1	2	4	821.598	0
2.245	1	4	5	293.316	0
2.246	1	6	6	890.385	0
2.247	1	1	7	270.239	0
2.248	1	5	8	143.864	0
2.281	1	3	1	196.897	0
2.282	1	7	2	587.841	0
2.284	1	2	4	1721.5	0
2.285	1	4	5	264.22	0
2.286	1	6	6	161.398	0
2.287	1	1	7	86.1219	0
2.288	1	5	8	264.899	0
2.321	1	3	1	576.444	0
2.322	1	7	2	306.352	0
2.324	1	2	4	612.402	0
2.325	1	4	5	555.873	0
2.326	1	6	6	914.77	0
2.327	1	1	7	433.807	0
2.328	1	5	8	242.84	0
2.361	1	3	1	53.4008	0
2.362	1	7	2	57.4254	0
2.364	1	2	4	671.442	0
2.365	1	4	5	1078.8	0
2.366	1	6	6	425.919	0
2.367	1	1	7	440.537	0
2.368	1	5	8	631.432	0
2.401	1	3	1	287.291	0
2.402	1	7	2	90.96	0
2.404	1	2	4	635.343	0
2.405	1	4	5	493.946	0
2.406	1	6	6	17.2404	0
2.407	1	1	7	50.9261	0
2.408	1	5	8	926.034	0
2.441	1	3	1	170.917	0
2.442	1	7	2	48.4661	0
2.444	1	2	4	27.1444	0
2.445	1	4	5	77.2709	0
2.446	1	6	6	154.154	0
2.447	1	1	7	188.624	0
2.448	1	5	8	226.286	0
2.481	1	3	1	1503.04	0
2.482	1	7	2	91.452	0
2.484	1	2	4	479.835	0
2.485	1	4	5	1238.94	0
2.486	1	6	6	50.2313	0
2.487	1	1	7	49.7853	0
2.488	1	5	8	239.039	0
2.521	1	3	1	731.163	0
2.522	1	7	2	296.273	0
2.524	1	2	4	590.422	0
2.525	1	4	5	533.16	0
2.526	1	6	6	1548.49	0
2.527	1	1	7	750.64	0
2.528	1	5	8	163.034	0
2.561	1	3	1	88.7458	0
2.562	1	7	2	107.138	0
2.564	1	2	4	77.1126	0
2.565	1	4	5	591.195	0
2.566	1	6	6	963.352	0
2.567	1	1	7	1405.91	0
2.568	1	5	8	542.955	0
2.601	1	3	1	294.617	0
2.602	1	7	2	71.2364	0
2.604	1	2	4	219.531	0
2.605	1	4	5	1073.71	0
2.606	1	6	6	157.231	0
2.607	1	1	7	466.745	0
2.608	1	5	8	145.164	0
2.641	1	3	1	96.8958	0
2.642	1	7	2	300.164	0
2.644	1	2	4	88.3477	0
2.645	1	4	5	511.992	0
2.646	1	6	6	891.399	0
2.647	1	1	7	574.732	0
2.648	1	5	8	34.4083	0
2.681	1	3	1	264.819	0
2.682	1	7	2	278.343	0
2.684	1	2	4	177.524	0
2.685	1	4	5	144.268	0
2.686	1	6	6	465.618	0
2.687	1	1	7	481.306	0
2.688	1	5	8	68.4487	0
2.721	1	3	1	885.487	0
2.722	1	7	2	131.796	0
2.724	1	2	4	673.3	0
2.725	1	4	5	113.288	0
2.726	1	6	6	13.9829	0
2.727	1	1	7	28.2381	0
2.728	1	5	8	62.1485	0
2.761	1	3	1	533.298	0
2.762	1	7	2	177.635	0
2.764	1	2	4	434.546	0
2.765	1	4	5	204.764	0
2.766	1	6	6	162.93	0
2.767	1	1	7	390.904	0
2.768	1	5	8	270.452	0
2.801	1	3	1	99.2318	0
2.802	1	7	2	345.304	0
2.804	1	2	4	82.0347	0
2.805	1	4	5	738.173	0
2.806	1	6	6	47.0608	0
2.807	1	1	7	92.8484	0
2.808	1	5	8	67.4168	0
2.841	1	3	1	135.335	0
2.842	1	7	2	113.938	0
2.844	1	2	4	101.094	0
2.845	1	4	5	1117.49	0
2.846	1	6	6	466.331	0
2.847	1	1	7	139.783	0
2.848	1	5	8	536.264	0
2.881	1	3	1	86.5225	0
2.882	1	7	2	50.8769	0
2.884	1	2	4	70.8238	0
2.885	1	4	5	952.014	0
2.886	1	6	6	194.681	0
2.887	1	1	7	97.1081	0
2.888	1	5	8	1047.39	0
2.921	1	3	1	118.642	0
2.922	1	7	2	170.833	0
2.924	1	2	4	82.3741	0
2.925	1	4	5	513.111	0
2.926	1	6	6	630.376	0
2.927	1	1	7	603.619	0
2.928	1	5	8	398.894	0
2.961	1	3	1	334.722	0
2.962	1	7	2	45.2906	0
2.964	1	2	4	254.363	0
2.965	1	4	5	188.598	0
2.966	1	6	6	1917.07	0
2.967	1	1	7	1145.34	0
2.968	1	5	8	261.03	0
3.001	1	3	1	273.268	0
3.002	1	7	2	115.735	0
3.004	1	2	4	624.516	0
3.005	1	4	5	1188.51	0
3.006	1	6	6	1395.57	0
3.007	1	1	7	179.491	0
3.008	1	5	8	667.617	0
3.041	1	3	1	243.988	0
3.042	1	7	2	15.3843	0
3.044	1	2	4	341.304	0
3.045	1	4	5	726.266	0
3.046	1	6	6	1572.48	0
3.047	1	1	7	87.5627	0
3.048	1	5	8	181.315	0
3.081	1	3	1	595.015	0
3.082	1	7	2	49.0286	0
3.084	1	2	4	780.687	0
3.085	1	4	5	200.721	0
3.086	1	6	6	505.675	0
3.087	1	1	7	830.982	0
3.088	1	5	8	551.242	0
3.121	1	3	1	984.119	0
3.122	1	7	2	30.0956	0
3.124	1	2	4	522.835	0
3.125	1	4	5	688.244	0
3.126	1	6	6	215.439	0
3.127	1	1	7	703.762	0
3.128	1	5	8	1872.24	0
3.161	1	3	1	318.821	0
3.162	1	7	2	171.101	0
3.164	1	2	4	141.53	0
3.165	1	4	5	2219.08	0
3.166	1	6	6	175.092	0
3.167	1	1	7	386.906	0
3.168	1	5	8	2069	0
3.201	1	3	1	165.065	0
3.202	1	7	2	48.4057	0
3.204	1	2	4	404.256	0
3.205	1	4	5	2303.07	0
3.206	1	6	6	581.335	0
3.207	1	1	7	582.136	0
3.208	1	5	8	390.459	0
3.241	1	3	1	1289.18	0
3.242	1	7	2	296.792	0
3.244	1	2	4	1410.58	0
3.245	1	4	5	378.497	0
3.246	1	6	6	1539.62	0
3.247	1	1	7	112.78	0
3.248	1	5	8	664.742	0
3.281	1	3	1	1273.09	0
3.282	1	7	2	665.486	0
3.284	1	2	4	1610.54	0
3.285	1	4	5	855.655	0
3.286	1	6	6	1835.71	0
3.287	1	1	7	394.381	0
3.288	1	5	8	1944.2	0
3.321	1	3	1	499.404	0
3.322	1	7	2	283.097	0
3.324	1	2	4	325.47	0
3.325	1	4	5	2239.43	0
3.326	1	6	6	1361.56	0
3.327	1	1	7	841.334	0
3.328	1	5	8	1163.38	0
3.361	1	3	1	421.126	0
3.362	1	7	2	151.439	0
3.364	1	2	4	481.58	0
3.365	1	4	5	1272.08	0
3.366	1	6	6	553.031	0
3.367	1	1	7	320.049	0
3.368	1	5	8	675.455	0
3.401	1	3	1	211.56	0
3.402	1	7	2	233.637	0
3.404	1	2	4	1495.05	0
3.405	1	4	5	779.522	0
3.406	1	6	6	555.272	0
3.407	1	1	7	331.901	0
3.408	1	5	8	518.131	0
3.441	1	3	1	297.703	0
3.442	1	7	2	39.66	0
3.444	1	2	4	920.31	0
3.445	1	4	5	560.784	0
3.446	1	6	6	2245.91	0
3.447	1	1	7	573.348	0
3.448	1	5	8	64.0605	0
3.481	1	3	1	1028.42	0
3.482	1	7	2	230.342	0
3.484	1	2	4	521.552	0
3.485	1	4	5	81.5643	0
3.486	1	6	6	1448.27	0
3.487	1	1	7	283.977	0
3.488	1	5	8	647.231	0
3.521	1	3	1	866.481	0
3.522	1	7	2	58.4342	0
3.524	1	2	4	102.815	0
3.525	1	4	5	125.652	0
3.526	1	6	6	416.295	0
3.527	1	1	7	321.588	0
3.528	1	5	8	1020.47	0
3.561	1	3	1	313.837	0
3.562	1	7	2	89.666	0
3.564	1	2	4	77.4553	0
3.565	1	4	5	352.69	0
3.566	1	6	6	1056.88	0
3.567	1	1	7	101.023	0
3.568	1	5	8	151.779	0
3.601	1	3	1	173.154	0
3.602	1	7	2	34.8029	0
3.604	1	2	4	229.917	0
3.605	1	4	5	360.336	0
3.606	1	6	6	203.653	0
3.607	1	1	7	178.597	0
3.608	1	5	8	2306.17	0
3.641	1	3	1	331.559	0
3.642	1	7	2	157.281	0
3.644	1	2	4	134.349	0
3.645	1	4	5	249.685	0
3.646	1	6	6	97.3468	0
3.647	1	1	7	524.139	0
3.648	1	5	8	1796.85	0
3.681	1	3	1	264.283	0
3.682	1	7	2	182.121	0
3.684	1	2	4	256.286	0
3.685	1	4	5	445.815	0
3.686	1	6	6	111.015	0
3.687	1	1	7	161.59	0
3.688	1	5	8	397.069	0
3.721	1	3	1	136.761	0
3.722	1	7	2	160.595	0
3.724	1	2	4	415.88	0
3.725	1	4	5	398.497	0
3.726	1	6	6	169.844	0
3.727	1	1	7	110.71	0
3.728	1	5	8	984.492	0
3.761	1	3	1	48.9402	0
3.762	1	7	2	808.308	0
3.764	1	2	4	180.437	0
3.765	1	4	5	100.591	0
3.766	1	6	6	526.314	0
3.767	1	1	7	298.639	0
3.768	1	5	8	542.286	0
3.801	1	3	1	277.533	0
3.802	1	7	2	1226.38	0
3.804	1	2	4	163.272	0
3.805	1	4	5	164.057	0
3.806	1	6	6	126.264	0
3.807	1	1	7	62.3788	0
3.808	1	5	8	19.0955	0
3.841	1	3	1	601.122	0
3.842	1	7	2	479.368	0
3.844	1	2	4	208.759	0
3.845	1	4	5	335.301	0
3.846	1	6	6	1244.46	0
3.847	1	1	7	24.9891	0
3.848	1	5	8	330.31	0
3.881	1	3	1	466.609	0
3.882	1	7	2	119.226	0
3.884	1	2	4	119.181	0
3.885	1	4	5	299.857	0
3.886	1	6	6	2030.79	0
3.887	1	1	7	32.3428	0
3.888	1	5	8	368.171	0
3.921	1	3	1	131.651	0
3.922	1	7	2	524.078	0
3.924	1	2	4	56.1	0
3.925	1	4	5	744.181	0
3.926	1	6	6	671.977	0
3.927	1	1	7	43.2122	0
3.928	1	5	8	450.384	0
3.961	1	3	1	137.34	0
3.962	1	7	2	317.648	0
3.964	1	2	4	211.753	0
3.965	1	4	5	1192.46	0
3.966	1	6	6	574.785	0
3.967	1	1	7	144.481	0
3.968	1	5	8	573.99	0
4.001	1	3	1	598.002	0
4.002	1	7	2	127.843	0
4.004	1	2	4	480.004	0
4.005	1	4	5	724.632	0
4.006	1	6	6	1003.45	0
4.007	1	1	7	403.896	0
4.008	1	5	8	408.896	0
4.041	1	3	1	43.8191	0
4.042	1	7	2	56.8189	0
4.044	1	2	4	644.784	0
4.045	1	4	5	317.054	0
4.046	1	6	6	893.022	0
4.047	1	1	7	178.256	0
4.048	1	5	8	399.79	0
4.081	1	3	1	861.271	0
4.082	1	7	2	115.236	0
4.084	1	2	4	96.4537	0
4.085	1	4	5	1051.96	0
4.086	1	6	6	80.2144	0
4.087	1	1	7	240.254	0
4.088	1	5	8	733.755	0
4.121	1	3	1	1836.6	0
4.122	1	7	2	270.044	0
4.124	1	2	4	225.213	0
4.125	1	4	5	566.281	0
4.126	1	6	6	749.261	0
4.127	1	1	7	379.903	0
