% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	ccId
0.411	1	2	42	2	4	28	2196	0	0	0
0.452	1	4	46	3	5	28	2196	0	0	0
0.509	2	6	51	10	2	26	1836	0	0	0
0.51	2	6	52	1	2	26	1836	0	0	0
0.529	1	6	53	10	6	28	2196	0	0	0
0.53	1	6	54	1	6	28	2196	0	0	0
0.531	2	1	54	2	4	28	2196	0	0	0
0.532	2	1	54	3	4	28	2196	0	0	0
0.545	1	6	55	6	6	28	2196	0	0	0
0.551	1	1	56	2	7	28	2196	0	0	0
0.552	1	1	56	3	7	28	2196	0	0	0
0.567	1	1	57	8	7	28	2196	0	0	0
0.613	1	6	62	4	6	28	1095	0	0	0
0.613	1	1	62	4	7	28	1095	0	0	0
0.693	1	3	70	4	1	28	749	0	0	0
0.693	1	7	70	4	2	28	749	0	0	0
0.693	1	2	70	4	4	28	749	0	0	0
0.733	2	5	74	4	3	18	967	0	0	0
0.813	2	5	82	4	3	28	2196	0	0	0
0.869	2	5	87	10	3	28	2196	0	0	0
0.87	2	5	88	1	3	28	2196	0	0	0
0.889	1	5	89	10	8	28	2196	0	0	0
0.89	1	5	90	1	8	28	2196	0	0	0
0.893	1	4	90	4	5	24	1620	0	0	0
0.9	1	4	91	1	5	24	1620	0	0	0
0.905	1	5	91	6	8	28	2196	0	0	0
1.013	1	5	102	4	8	28	2196	0	0	0
1.093	1	6	110	4	6	28	1095	0	0	0
1.093	1	1	110	4	7	28	1095	0	0	0
1.173	1	3	118	4	1	28	749	0	0	0
1.173	1	7	118	4	2	28	749	0	0	0
1.173	1	2	118	4	4	26	621	0	0	0
1.18	1	2	119	1	4	26	621	0	0	0
1.373	1	4	138	4	5	28	2196	0	0	0
1.493	1	5	150	4	8	26	1836	0	0	0
1.573	1	6	158	4	6	28	1095	0	0	0
1.573	1	1	158	4	7	20	597	0	0	0
1.653	1	3	166	4	1	24	533	0	0	0
1.653	1	7	166	4	2	28	749	0	0	0
1.653	1	2	166	4	4	28	749	0	0	0
1.853	1	4	186	4	5	28	2196	0	0	0
1.973	1	5	198	4	8	28	2196	0	0	0
2.053	1	6	206	4	6	28	1095	0	0	0
2.053	1	1	206	4	7	28	1095	0	0	0
2.133	1	3	214	4	1	28	749	0	0	0
2.133	1	7	214	4	2	28	749	0	0	0
2.133	1	2	214	4	4	28	749	0	0	0
2.333	1	4	234	4	5	28	2196	0	0	0
2.453	1	5	246	4	8	28	2196	0	0	0
2.533	1	6	254	4	6	28	1095	0	0	0
2.533	1	1	254	4	7	24	807	0	0	0
2.613	1	3	262	4	1	28	749	0	0	0
2.613	1	7	262	4	2	24	533	0	0	0
2.613	1	2	262	4	4	28	749	0	0	0
2.813	1	4	282	4	5	28	2196	0	0	0
2.933	1	5	294	4	8	20	1191	0	0	0
3.013	1	6	302	4	6	28	1095	0	0	0
3.013	1	1	302	4	7	28	1095	0	0	0
3.093	1	3	310	4	1	28	749	0	0	0
3.093	1	7	310	4	2	22	469	0	0	0
3.093	1	2	310	4	4	28	749	0	0	0
3.293	1	4	330	4	5	28	2196	0	0	0
3.413	1	5	342	4	8	28	2196	0	0	0
3.493	1	6	350	4	6	28	1095	0	0	0
3.493	1	1	350	4	7	28	1095	0	0	0
3.573	1	3	358	4	1	28	749	0	0	0
3.573	1	7	358	4	2	22	469	0	0	0
3.573	1	2	358	4	4	28	749	0	0	0
3.773	1	4	378	4	5	28	2196	0	0	0
3.893	1	5	390	4	8	28	2196	0	0	0
3.973	1	6	398	4	6	28	1095	0	0	0
3.973	1	1	398	4	7	28	1095	0	0	0
4.053	1	3	406	4	1	28	749	0	0	0
4.053	1	7	406	4	2	28	749	0	0	0
4.053	1	2	406	4	4	28	749	0	0	0
4.253	1	4	426	4	5	28	2196	0	0	0
4.373	1	5	438	4	8	28	2196	0	0	0
4.453	1	6	446	4	6	28	1095	0	0	0
4.453	1	1	446	4	7	28	1095	0	0	0
4.533	1	3	454	4	1	28	749	0	0	0
4.533	1	7	454	4	2	28	749	0	0	0
4.533	1	2	454	4	4	28	749	0	0	0
4.733	1	4	474	4	5	28	2196	0	0	0
4.86	1	5	487	1	8	28	2196	0	0	0
4.933	1	6	494	4	6	28	1095	0	0	0
4.933	1	1	494	4	7	24	807	0	0	0
5.013	1	3	502	4	1	26	621	0	0	0
5.013	1	7	502	4	2	28	749	0	0	0
5.013	1	2	502	4	4	28	749	0	0	0
5.333	1	5	534	4	8	28	2196	0	0	0
5.413	1	4	542	4	5	28	749	0	0	0
5.413	1	6	542	4	6	28	749	0	0	0
5.413	1	1	542	4	7	28	749	0	0	0
5.493	1	3	550	4	1	28	749	0	0	0
5.493	1	7	550	4	2	24	533	0	0	0
5.493	1	2	550	4	4	28	749	0	0	0
5.5	1	7	551	1	2	24	533	0	0	0
5.815	1	5	582	6	8	28	2196	0	0	0
5.893	1	4	590	4	5	28	749	0	0	0
5.893	1	6	590	4	6	28	749	0	0	0
5.893	1	1	590	4	7	28	749	0	0	0
5.973	1	3	598	4	1	28	749	0	0	0
5.973	1	7	598	4	2	28	749	0	0	0
5.973	1	2	598	4	4	28	749	0	0	0
6.293	1	5	630	4	8	28	2196	0	0	0
6.373	1	4	638	4	5	28	749	0	0	0
6.373	1	6	638	4	6	28	749	0	0	0
6.373	1	1	638	4	7	28	749	0	0	0
6.453	1	3	646	4	1	28	749	0	0	0
6.453	1	7	646	4	2	24	533	0	0	0
6.453	1	2	646	4	4	28	749	0	0	0
6.773	1	5	678	4	8	28	2196	0	0	0
6.853	1	4	686	4	5	28	749	0	0	0
6.853	1	6	686	4	6	28	749	0	0	0
6.853	1	1	686	4	7	28	749	0	0	0
6.933	1	3	694	4	1	28	749	0	0	0
6.933	1	7	694	4	2	28	749	0	0	0
6.933	1	2	694	4	4	28	749	0	0	0
7.253	1	5	726	4	8	28	2196	0	0	0
7.333	1	4	734	4	5	28	749	0	0	0
7.333	1	6	734	4	6	28	749	0	0	0
7.333	1	1	734	4	7	24	533	0	0	0
7.34	1	1	735	1	7	24	533	0	0	0
7.413	1	3	742	4	1	28	749	0	0	0
7.413	1	7	742	4	2	28	749	0	0	0
7.413	1	2	742	4	4	28	749	0	0	0
7.733	1	5	774	4	8	24	1620	0	0	0
7.813	1	4	782	4	5	28	749	0	0	0
7.813	1	6	782	4	6	24	533	0	0	0
7.813	1	1	782	4	7	28	749	0	0	0
7.893	1	3	790	4	1	28	749	0	0	0
7.893	1	7	790	4	2	28	749	0	0	0
7.893	1	2	790	4	4	28	749	0	0	0
7.9	1	3	791	1	1	28	749	0	0	0
8.213	1	5	822	4	8	28	2196	0	0	0
8.293	1	4	830	4	5	28	749	0	0	0
8.293	1	6	830	4	6	28	749	0	0	0
8.293	1	1	830	4	7	28	749	0	0	0
8.373	1	3	838	4	1	28	749	0	0	0
8.373	1	7	838	4	2	28	749	0	0	0
8.373	1	2	838	4	4	28	749	0	0	0
8.693	1	5	870	4	8	28	2196	0	0	0
8.773	1	4	878	4	5	28	1095	0	0	0
8.773	1	6	878	4	6	28	1095	0	0	0
8.814	1	1	882	5	7	28	2196	0	0	0
8.821	1	1	883	2	7	28	2196	0	0	0
8.853	1	3	886	4	1	28	749	0	0	0
8.853	1	7	886	4	2	28	749	0	0	0
8.853	1	2	886	4	4	28	749	0	0	0
8.86	1	7	887	1	2	28	749	0	0	0
9.173	1	5	918	4	8	28	2196	0	0	0
9.253	1	4	926	4	5	28	749	0	0	0
9.253	1	6	926	4	6	28	749	0	0	0
9.253	1	1	926	4	7	22	469	0	0	0
9.333	1	7	934	4	2	22	693	0	0	0
9.333	1	2	934	4	4	22	693	0	0	0
9.413	1	3	942	4	1	28	2196	0	0	0
9.653	1	5	966	4	8	28	2196	0	0	0
9.733	1	4	974	4	5	28	749	0	0	0
9.733	1	6	974	4	6	28	749	0	0	0
9.733	1	1	974	4	7	28	749	0	0	0
9.813	1	7	982	4	2	28	1095	0	0	0
9.813	1	2	982	4	4	28	1095	0	0	0
9.893	1	3	990	4	1	26	1836	0	0	0
10.133	1	5	1014	4	8	22	1383	0	0	0
10.14	1	5	1015	1	8	22	1383	0	0	0
10.213	1	4	1022	4	5	28	749	0	0	0
10.213	1	6	1022	4	6	24	533	0	0	0
10.213	1	1	1022	4	7	26	621	0	0	0
10.233	1	1	1024	4	7	28	2196	0	0	0
10.293	1	7	1030	4	2	28	1095	0	0	0
10.293	1	2	1030	4	4	28	1095	0	0	0
10.373	1	3	1038	4	1	28	2196	0	0	0
10.613	1	5	1062	4	8	28	2196	0	0	0
10.693	1	4	1070	4	5	28	749	0	0	0
10.693	1	6	1070	4	6	26	621	0	0	0
10.693	1	1	1070	4	7	18	325	0	0	0
10.7	1	4	1071	1	5	28	749	0	0	0
10.773	1	7	1078	4	2	28	1095	0	0	0
10.773	1	2	1078	4	4	22	693	0	0	0
10.853	1	3	1086	4	1	28	2196	0	0	0
11.093	1	5	1110	4	8	28	2196	0	0	0
11.173	1	4	1118	4	5	28	749	0	0	0
11.173	1	6	1118	4	6	28	749	0	0	0
11.173	1	1	1118	4	7	28	749	0	0	0
11.253	1	7	1126	4	2	24	807	0	0	0
11.253	1	2	1126	4	4	28	1095	0	0	0
11.26	1	7	1127	1	2	24	807	0	0	0
11.333	1	3	1134	4	1	28	2196	0	0	0
11.573	1	5	1158	4	8	28	2196	0	0	0
11.653	1	4	1166	4	5	28	749	0	0	0
11.653	1	6	1166	4	6	24	533	0	0	0
11.653	1	1	1166	4	7	28	749	0	0	0
11.733	1	7	1174	4	2	28	1095	0	0	0
11.733	1	2	1174	4	4	28	1095	0	0	0
11.813	1	3	1182	4	1	28	2196	0	0	0
12.053	1	5	1206	4	8	28	2196	0	0	0
12.133	1	4	1214	4	5	28	749	0	0	0
12.133	1	6	1214	4	6	28	749	0	0	0
12.133	1	1	1214	4	7	28	749	0	0	0
12.213	1	7	1222	4	2	28	1095	0	0	0
12.213	1	2	1222	4	4	28	1095	0	0	0
12.22	1	2	1223	1	4	28	1095	0	0	0
12.293	1	3	1230	4	1	28	2196	0	0	0
12.533	1	5	1254	4	8	22	1383	0	0	0
12.613	1	4	1262	4	5	28	749	0	0	0
12.613	1	6	1262	4	6	28	749	0	0	0
12.613	1	1	1262	4	7	24	533	0	0	0
12.693	1	7	1270	4	2	24	807	0	0	0
12.693	1	2	1270	4	4	28	1095	0	0	0
12.7	1	7	1271	1	2	24	807	0	0	0
12.773	1	3	1278	4	1	22	1383	0	0	0
13.013	1	5	1302	4	8	26	1836	0	0	0
13.093	1	4	1310	4	5	28	1095	0	0	0
13.093	1	6	1310	4	6	28	1095	0	0	0
13.094	1	1	1310	5	7	24	1620	0	0	0
13.173	1	7	1318	4	2	28	1095	0	0	0
13.173	1	2	1318	4	4	24	807	0	0	0
13.253	1	3	1326	4	1	28	2196	0	0	0
13.493	1	5	1350	4	8	28	2196	0	0	0
13.573	1	4	1358	4	5	28	749	0	0	0
13.573	1	6	1358	4	6	22	469	0	0	0
13.573	1	1	1358	4	7	24	533	0	0	0
13.58	1	6	1359	1	6	22	469	0	0	0
13.653	1	7	1366	4	2	28	1095	0	0	0
13.653	1	2	1366	4	4	24	807	0	0	0
13.733	1	3	1374	4	1	28	2196	0	0	0
13.973	1	5	1398	4	8	28	2196	0	0	0
14.053	1	4	1406	4	5	28	749	0	0	0
14.053	1	6	1406	4	6	20	389	0	0	0
14.053	1	1	1406	4	7	28	749	0	0	0
14.06	1	6	1407	1	6	20	389	0	0	0
14.133	1	7	1414	4	2	28	1095	0	0	0
14.133	1	2	1414	4	4	28	1095	0	0	0
14.233	1	3	1424	4	1	24	1620	0	0	0
14.453	1	5	1446	4	8	28	2196	0	0	0
14.533	1	6	1454	4	6	28	1095	0	0	0
14.533	1	1	1454	4	7	28	1095	0	0	0
14.613	1	7	1462	4	2	28	749	0	0	0
14.613	1	2	1462	4	4	24	533	0	0	0
14.613	1	4	1462	4	5	28	749	0	0	0
14.62	1	7	1463	1	2	28	749	0	0	0
14.693	1	3	1470	4	1	24	1620	0	0	0
14.7	1	3	1471	1	1	24	1620	0	0	0
14.933	1	5	1494	4	8	28	2196	0	0	0
15.013	1	6	1502	4	6	20	597	0	0	0
15.013	1	1	1502	4	7	28	1095	0	0	0
15.02	1	6	1503	1	6	20	597	0	0	0
