,Unnamed: 0,input_data,output_data,received_data_real,received_data_imag,transmitted_data_real,transmitted_data_imag,encoded_data_real,encoded_data_imag,decoded_data_real,decoded_data_imag
590,590,118,122,-0.17926159501075745,-0.6830838918685913,0.0032040835358202453,-0.10144471377134323,1.4142135381698608,-1.4142135381698608,1.4142135381698608,-1.4142135381698608
654,654,203,213,0.5591546297073364,-0.0902307704091072,0.28402620553970337,0.32015690207481384,1.4142135381698608,-1.4142135381698608,1.4142135381698608,1.4142135381698608
671,671,184,181,-0.2953450679779053,-0.06488054990768433,0.40569162368774414,-0.3886199295520783,-1.4142135381698608,1.4142135381698608,-1.4142135381698608,1.4142135381698608
672,672,190,181,-0.08525782823562622,0.589973509311676,0.7570833563804626,-0.02064628712832928,-1.4142135381698608,1.4142135381698608,-1.4142135381698608,1.4142135381698608
677,677,181,181,-0.7865697145462036,-0.11604131013154985,0.02244937419891357,0.4870106279850006,1.4142135381698608,-1.4142135381698608,-1.4142135381698608,1.4142135381698608
686,686,136,145,0.12282969057559967,-0.6951979398727417,0.34527236223220825,0.26417019963264465,-1.4142135381698608,-1.4142135381698608,-1.4142135381698608,1.4142135381698608
718,718,206,212,-0.2841058671474457,-0.040038473904132836,-0.2336012423038483,-0.4479871392250061,1.4142135381698608,1.4142135381698608,1.4142135381698608,1.4142135381698608
729,729,250,249,-0.33968213200569153,0.5086370706558228,-0.41480502486228943,0.7308298945426941,-1.4142135381698608,-1.4142135381698608,1.4142135381698608,1.4142135381698608
757,757,249,247,-0.03610537573695183,0.4075753688812256,0.009545207023620605,-0.04903339967131615,-1.4142135381698608,1.4142135381698608,1.4142135381698608,1.4142135381698608
780,780,116,107,-0.6944897770881653,-0.047118689864873886,0.42928931117057795,-0.42928931117057795,-1.4142135381698608,-1.4142135381698608,1.4142135381698608,-1.4142135381698608
820,820,65,57,0.000525815412402153,-0.2630053758621216,-0.11758756637573242,0.14517749845981598,-1.4142135381698608,1.4142135381698608,-1.4142135381698608,-1.4142135381698608
846,846,157,151,-0.6313613057136536,-0.3833479583263397,0.04899357631802559,0.2491635531187057,-1.4142135381698608,1.4142135381698608,-1.4142135381698608,1.4142135381698608
852,852,181,182,-1.202106237411499,-0.14635559916496274,-0.2508559823036194,-0.28029996156692505,1.4142135381698608,-1.4142135381698608,-1.4142135381698608,1.4142135381698608
863,863,104,95,0.10446391254663467,-0.003362398594617844,0.012132025323808191,0.5292893648147583,1.4142135381698608,1.4142135381698608,1.4142135381698608,-1.4142135381698608
865,865,98,95,-0.5936819911003113,-1.273479461669922,-0.1997644454240799,-0.010202539153397085,-1.4142135381698608,-1.4142135381698608,1.4142135381698608,-1.4142135381698608
871,871,15,24,-1.3054336309432983,-0.09884872287511826,0.4521720111370087,0.1976436972618103,1.4142135381698608,1.4142135381698608,-1.4142135381698608,-1.4142135381698608
879,879,32,24,-0.5389675498008728,0.03067980706691742,-0.16198208928108215,-0.011701769195497036,-1.4142135381698608,-1.4142135381698608,-1.4142135381698608,-1.4142135381698608
880,880,17,24,-0.29092106223106384,-0.0968107059597969,-0.14724735915660858,0.2926383912563324,-1.4142135381698608,-1.4142135381698608,-1.4142135381698608,-1.4142135381698608
888,888,105,111,0.20444972813129425,-0.1564624309539795,-0.20616142451763156,0.5610449314117432,1.4142135381698608,1.4142135381698608,1.4142135381698608,-1.4142135381698608
897,897,228,237,0.21987175941467285,-0.4581892490386963,0.209405854344368,0.07688559591770172,1.4142135381698608,-1.4142135381698608,1.4142135381698608,1.4142135381698608
939,939,235,225,0.025037262588739395,0.6745832562446594,-0.23574140667915344,-0.37641504406929016,-1.4142135381698608,-1.4142135381698608,1.4142135381698608,1.4142135381698608
958,958,148,151,0.4249752759933472,-0.1544223129749298,-0.12557008862495422,-0.08340892940759659,1.4142135381698608,-1.4142135381698608,-1.4142135381698608,1.4142135381698608
