,Unnamed: 0,input_data,output_data,received_data_real,received_data_imag,transmitted_data_real,transmitted_data_imag,encoded_data_real,encoded_data_imag,decoded_data_real,decoded_data_imag
537,537,227,234,-0.4629256129264832,-0.0215429961681366,-0.3776906132698059,-0.15484997630119324,1.0,0.0,1.0,0.0
551,551,9,17,0.27912625670433044,0.1018248051404953,0.1540604531764984,-0.3653821647167206,1.0,0.0,-1.0,0.0
552,552,9,17,0.27912625670433044,0.1018248051404953,0.1540604531764984,-0.3653821647167206,1.0,0.0,-1.0,0.0
558,558,27,17,0.5327420234680176,0.7115951180458069,0.3238537013530731,-0.4352872967720032,1.0,0.0,-1.0,0.0
561,561,17,17,0.6265842914581299,0.6867886781692505,-0.31869029998779297,0.3015158474445343,-1.0,0.0,-1.0,0.0
565,565,53,43,-0.15045729279518127,0.03195080161094665,0.05994561314582825,-0.12304425239562987,1.0,0.0,-1.0,0.0
574,574,86,91,0.7097717523574829,0.2059345245361328,-0.3323172628879547,0.20506015419960025,1.0,0.0,-1.0,0.0
582,582,101,95,0.4545919299125672,-0.6040327548980713,-0.04632176086306572,-0.13423554599285126,-1.0,0.0,-1.0,0.0
588,588,209,216,-0.012883543968200684,-0.3507894277572632,-0.3121320307254791,-0.1414213627576828,1.0,0.0,1.0,0.0
591,591,212,216,0.08994478732347487,-0.18155741691589355,0.2804267406463623,-0.1441359519958496,1.0,0.0,1.0,0.0
604,604,127,127,-0.2356828898191452,-0.29598268866539,0.249944731593132,-0.04433933272957802,1.0,0.0,-1.0,0.0
619,619,101,95,0.062485389411449425,0.21412132680416107,0.5455491542816162,-0.11606442928314208,-1.0,0.0,-1.0,0.0
623,623,89,95,0.12671303749084473,-0.294301837682724,0.20000000298023224,0.20000000298023224,1.0,0.0,-1.0,0.0
644,644,169,166,-0.2959998846054077,0.17533251643180847,-0.3448634147644043,-0.08314060419797897,-1.0,0.0,1.0,0.0
645,645,169,166,-0.2959998846054077,0.17533251643180847,-0.3448634147644043,-0.08314060419797897,-1.0,0.0,1.0,0.0
650,650,163,166,-0.3377472162246704,-0.2136017084121704,-0.264364093542099,0.1715906709432602,-1.0,0.0,1.0,0.0
655,655,45,38,0.07000064849853516,0.22445325553417209,0.052604861557483666,0.12130826711654664,-1.0,0.0,-1.0,0.0
661,661,47,38,0.4443950057029724,-0.2455922067165375,0.3661337792873383,-0.02106037177145481,-1.0,0.0,-1.0,0.0
663,663,27,19,0.08953231573104857,0.030106447637081143,-0.11659105867147446,0.005086195655167103,1.0,0.0,-1.0,0.0
694,694,192,199,0.033368706703186035,0.0696379691362381,-0.30000001192092896,0.0,-1.0,0.0,1.0,0.0
713,713,74,65,-0.03751608729362488,-0.2892199754714966,-0.03631532192230225,0.03108222596347332,-1.0,0.0,-1.0,0.0
719,719,55,65,-0.5675090551376343,0.2295321971178055,-0.3904506862163544,0.14734339714050293,-1.0,0.0,-1.0,0.0
720,720,73,65,-0.4628145098686218,0.3839709162712097,-0.3528057932853699,-0.19966080784797668,-1.0,0.0,-1.0,0.0
724,724,68,65,-0.5116599798202515,-0.06007097661495209,0.459477812051773,0.2213268280029297,1.0,0.0,-1.0,0.0
737,737,221,211,-0.4066983461380005,0.18341901898384091,-0.2197440713644028,0.05411961302161217,-1.0,0.0,1.0,0.0
758,758,94,102,0.0960756465792656,-0.35187682509422297,-0.34142136573791504,0.41213202476501465,1.0,0.0,-1.0,0.0
765,765,101,102,0.3757897019386292,0.2055479884147644,0.2872156798839569,0.16162478923797607,-1.0,0.0,-1.0,0.0
767,767,108,102,-0.13827532529830933,0.37444135546684265,-0.4637382924556732,0.036913573741912835,1.0,0.0,-1.0,0.0
785,785,131,132,-0.4770649075508118,0.18147942423820496,-0.2121320217847824,-0.10000000149011612,-1.0,0.0,1.0,0.0
787,787,127,132,-0.2234770953655243,0.7989590167999268,0.09249542653560637,0.19158005714416504,1.0,0.0,1.0,0.0
853,853,161,159,0.4361399114131928,0.5439264774322511,-0.02991647832095623,0.23696231842041016,1.0,0.0,1.0,0.0
856,856,19,13,0.08052140474319458,-0.6078920960426331,0.16060923039913175,-0.18803255259990687,-1.0,0.0,-1.0,0.0
877,877,56,60,-0.2486785650253296,-0.375679075717926,0.028961718082427982,0.14799955487251282,-1.0,0.0,-1.0,0.0
