% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
1.522	1	1	2	5.73402	0
1.522	2	3	2	3.4484	0
1.523	2	5	3	1665.53	0
1.561	1	2	1	26.0761	0
1.561	2	4	1	4.21173	0
1.562	1	1	2	3.51055	0
1.562	2	3	2	35.4	0
1.563	2	5	3	1274.57	0
1.601	1	2	1	42.4462	0
1.601	2	4	1	73.5317	0
1.602	1	1	2	6.6795	0
1.602	2	3	2	12.8289	0
1.603	2	5	3	3030.77	0
1.641	1	2	1	3.19148	0
1.641	2	4	1	26.1749	0
1.642	1	1	2	21.055	0
1.642	2	3	2	7.29466	0
1.643	2	5	3	7200.85	0
1.681	1	2	1	5.60311	0
1.681	2	4	1	4.88166	0
1.682	1	1	2	3.97386	0
1.682	2	3	2	78.0196	0
1.683	2	5	3	23396.8	0
1.721	1	2	1	4.2998	0
1.721	2	4	1	4.81049	0
1.722	1	1	2	79.5699	0
1.722	2	3	2	22.0705	0
1.723	2	5	3	16763.5	0
1.761	1	2	1	140.046	0
1.761	2	4	1	46.1544	0
1.762	1	1	2	133.484	0
1.762	2	3	2	6.72939	0
1.763	2	5	3	9163.84	0
1.801	1	2	1	7.86114	0
1.801	2	4	1	22.4322	0
1.802	1	1	2	16.7289	0
1.802	2	3	2	10.3792	0
1.803	2	5	3	13912.2	0
1.841	1	2	1	79.1601	0
1.841	2	4	1	10.4195	0
1.842	1	1	2	9.68935	0
1.842	2	3	2	3.36119	0
1.843	2	5	3	8034.27	0
1.881	1	2	1	5.37168	0
1.881	2	4	1	12.9493	0
1.882	1	1	2	12.2129	0
1.882	2	3	2	6.43959	0
1.883	2	5	3	10365.6	0
1.921	1	2	1	56.1892	0
1.921	2	4	1	8.79424	0
1.922	1	1	2	5.01156	0
1.922	2	3	2	8.21879	0
1.923	2	5	3	15189.7	0
1.961	1	2	1	114.254	0
1.961	2	4	1	2.66337	0
1.962	1	1	2	32.1935	0
1.962	2	3	2	28.9333	0
1.963	2	5	3	16874.8	0
2.001	1	2	1	149.486	0
2.001	2	4	1	10.9362	0
2.002	1	1	2	63.3444	0
2.002	2	3	2	113.64	0
2.003	2	5	3	3363.95	0
2.041	1	2	1	9.16001	0
2.041	2	4	1	3.79839	0
2.042	1	1	2	391.321	0
2.042	2	3	2	3.6218	0
2.043	2	5	3	2359.75	0
2.081	1	2	1	2.19766	0
2.081	2	4	1	45.9859	0
2.082	1	1	2	33.9835	0
2.082	2	3	2	4.34802	0
2.083	2	5	3	3801.88	0
2.121	1	2	1	81.1128	0
2.121	2	4	1	3.63834	0
2.122	1	1	2	12.3603	0
2.122	2	3	2	4.58362	0
2.123	2	5	3	5673.87	0
2.161	1	2	1	116.201	0
2.161	2	4	1	0.588751	0
2.162	1	1	2	6.79331	0
2.162	2	3	2	34.0367	0
2.163	2	5	3	3956.04	0
2.201	1	2	1	48.9339	0
2.201	2	4	1	11.2155	0
2.202	1	1	2	0.735179	0
2.202	2	3	2	9.7594	0
2.203	2	5	3	4245.37	0
2.241	1	2	1	2.51863	0
2.241	2	4	1	5.96627	0
2.242	1	1	2	2.01375	0
2.242	2	3	2	37.343	0
2.243	2	5	3	20340.8	0
2.281	1	2	1	4.55939	0
2.281	2	4	1	5.2767	0
2.282	1	1	2	1.63182	0
2.282	2	3	2	6.03615	0
2.283	2	5	3	19562.6	0
2.321	1	2	1	158.224	0
2.321	2	4	1	9.65851	0
2.322	1	1	2	12.3618	0
2.322	2	3	2	19.0501	0
2.323	2	5	3	7385.87	0
2.361	1	2	1	34.5392	0
2.361	2	4	1	0.473021	0
2.362	1	1	2	101.903	0
2.362	2	3	2	34.6935	0
2.363	2	5	3	4716.84	0
2.401	1	2	1	15.5933	0
2.401	2	4	1	1.56592	0
2.402	1	1	2	31.0169	0
2.402	2	3	2	5.75306	0
2.403	2	5	3	1921.66	0
2.441	1	2	1	104.427	0
2.441	2	4	1	4.68283	0
2.442	1	1	2	2.19774	0
2.442	2	3	2	18.3913	0
2.443	2	5	3	3801.8	0
2.481	1	2	1	51.8511	0
2.481	2	4	1	5.98612	0
2.482	1	1	2	2.52819	0
2.482	2	3	2	35.5337	0
2.483	2	5	3	3147.83	0
2.521	1	2	1	1.50183	0
2.521	2	4	1	3.35511	0
2.522	1	1	2	1.59854	0
2.522	2	3	2	20.2591	0
2.523	2	5	3	1213.66	0
2.561	1	2	1	55.3812	0
2.561	2	4	1	1.19994	0
2.562	1	1	2	17.7096	0
2.562	2	3	2	9.936	0
2.563	2	5	3	1725.3	0
2.601	1	2	1	55.2623	0
2.601	2	4	1	1.07182	0
2.602	1	1	2	8.85767	0
2.602	2	3	2	245.707	0
2.603	2	5	3	3637.64	0
2.641	1	2	1	104.468	0
2.641	2	4	1	4.25565	0
2.642	1	1	2	405.635	0
2.642	2	3	2	12.2535	0
2.643	2	5	3	5963.71	0
2.681	1	2	1	157.949	0
2.681	2	4	1	13.0902	0
2.682	1	1	2	37.4895	0
2.682	2	3	2	10.6209	0
2.683	2	5	3	3783.35	0
2.721	1	2	1	171.339	0
2.721	2	4	1	4.52979	0
2.722	1	1	2	8.65724	0
2.722	2	3	2	33.8643	0
2.723	2	5	3	5748.82	0
2.761	1	2	1	75.0325	0
2.761	2	4	1	1.93394	0
2.762	1	1	2	18.0757	0
2.762	2	3	2	1.9495	0
2.763	2	5	3	20042.4	0
2.801	1	2	1	1.84375	0
2.801	2	4	1	4.29134	0
2.802	1	1	2	7.91005	0
2.802	2	3	2	15.9375	0
2.803	2	5	3	4540.56	0
2.841	1	2	1	11.4337	0
2.841	2	4	1	3.2532	0
2.842	1	1	2	61.5431	0
2.842	2	3	2	43.416	0
2.843	2	5	3	1810.48	0
2.881	1	2	1	24.4812	0
2.881	2	4	1	5.18368	0
2.882	1	1	2	62.4732	0
2.882	2	3	2	13.4979	0
2.883	2	5	3	8044.76	0
2.921	1	2	1	3.67972	0
2.921	2	4	1	0.522829	0
2.922	1	1	2	6.71134	0
2.922	2	3	2	4.71202	0
2.923	2	5	3	4232.06	0
2.961	1	2	1	16.3078	0
2.961	2	4	1	1.84721	0
2.962	1	1	2	11.8308	0
2.962	2	3	2	13.0423	0
2.963	2	5	3	2144.41	0
3.001	1	2	1	30.3576	0
3.001	2	4	1	10.9112	0
3.002	1	1	2	1.85117	0
3.002	2	3	2	20.054	0
3.003	2	5	3	3243.69	0
3.041	1	2	1	2.86375	0
3.041	2	4	1	22.0424	0
3.042	1	1	2	13.8871	0
3.042	2	3	2	11.1007	0
3.043	2	5	3	3672.62	0
3.081	1	2	1	41.0438	0
3.081	2	4	1	0.660499	0
3.082	1	1	2	5.57626	0
3.082	2	3	2	58.3277	0
3.083	2	5	3	7518.23	0
3.121	1	2	1	18.6634	0
3.121	2	4	1	0.305944	0
3.122	1	1	2	4.75507	0
3.122	2	3	2	3.38647	0
3.123	2	5	3	4339.24	0
3.161	1	2	1	3.25387	0
3.161	2	4	1	13.3991	0
3.162	1	1	2	4.12541	0
3.162	2	3	2	11.0327	0
3.163	2	5	3	7803.6	0
3.201	1	2	1	55.2351	0
3.201	2	4	1	1.77234	0
3.202	1	1	2	39.6247	0
